"code","zone","number","address"
" IV-33"," IV","33","#N/A"
" V-7"," V","7","#N/A"
"I-1","I","1","Paseo del fresno no. 1"
"I-10","I","10","Paseo del fresno no. 10"
"I-11","I","11","Paseo del fresno no. 11"
"I-12","I","12","Paseo del fresno no. 12"
"I-13","I","13","Paseo del fresno no. 13"
"I-14","I","14","Paseo del fresno no. 14"
"I-15","I","15","Paseo del fresno no. 15"
"I-16","I","16","Paseo del fresno no. 16"
"I-17","I","17","Paseo del fresno no. 17"
"I-18","I","18","Paseo del fresno no. 18"
"I-19","I","19","Paseo del fresno no. 19"
"I-2","I","2","Paseo del fresno no. 2"
"I-20","I","20","Paseo del fresno no. 20"
"I-21","I","21","Paseo del fresno no. 21"
"I-22","I","22","Paseo del fresno no. 22"
"I-23","I","23","Paseo del fresno no. 23"
"I-24","I","24","Paseo del fresno no. 24"
"I-25","I","25","Paseo del fresno no. 25"
"I-26","I","26","Paseo del fresno no. 26"
"I-27","I","27","Paseo del fresno no. 27"
"I-28","I","28","Paseo del fresno no. 28"
"I-29","I","29","Paseo del fresno no. 29"
"I-3","I","3","Paseo del fresno no. 3"
"I-30","I","30","Paseo del fresno no. 30"
"I-31","I","31","Paseo del fresno no. 31"
"I-32","I","32","Paseo del fresno no. 32"
"I-33","I","33","Paseo del fresno no. 33"
"I-34","I","34","Paseo del fresno no. 34"
"I-35","I","35","Paseo del fresno no. 35"
"I-36","I","36","Paseo del fresno no. 36"
"I-37","I","37","Paseo del fresno no. 37"
"I-38","I","38","Paseo del fresno no. 38"
"I-39","I","39","Paseo del fresno no. 39"
"I-4","I","4","Paseo del fresno no. 4"
"I-40","I","40","Paseo del fresno no. 40"
"I-41","I","41","Paseo del fresno no. 41"
"I-42","I","42","Paseo del Manantial no. 112"
"I-43","I","43","Paseo del Manantial no. 110"
"I-44","I","44","Paseo del Manantial no. 108"
"I-45","I","45","Paseo del Manantial no. 106"
"I-46","I","46","Paseo del Manantial no. 104"
"I-47","I","47","Paseo del fresno no. 47"
"I-48","I","48","Paseo del fresno no. 48"
"I-49","I","49","Paseo del fresno no. 49"
"I-5","I","5","Paseo del fresno no. 5"
"I-50","I","50","Paseo del fresno no. 50"
"I-51","I","51","Paseo del fresno no. 51"
"I-52","I","52","Paseo del fresno no. 52"
"I-53","I","53","Paseo del fresno no. 53"
"I-54","I","54","Paseo del fresno no. 54"
"I-55","I","55","Paseo del fresno no. 55"
"I-56","I","56","Paseo del fresno no. 56"
"I-57","I","57","Paseo del fresno no. 57"
"I-58","I","58","Paseo del fresno no. 58"
"I-59","I","59","Paseo del fresno no. 59"
"I-6","I","6","Paseo del fresno no. 6"
"I-60","I","60","#N/A"
"I-61","I","61","Paseo del fresno no. 60"
"I-62","I","62","Paseo del fresno no. 62"
"I-63","I","63","Paseo del fresno no. 63"
"I-64","I","64","Paseo del fresno no. 64"
"I-65","I","65","Paseo del fresno no. 65"
"I-66","I","66","Paseo del fresno no. 66"
"I-67","I","67","Paseo del fresno no. 67"
"I-68","I","68","Paseo del fresno no. 68"
"I-69","I","69","Paseo del fresno no. 69"
"I-7","I","7","Paseo del fresno no. 7"
"I-70","I","70","Paseo del fresno no. 70"
"I-71","I","71","Paseo del fresno no. 71"
"I-72","I","72","Paseo del fresno no. 72"
"I-73","I","73","Paseo del fresno no. 73"
"I-74","I","74","Paseo del fresno no. 74"
"I-75","I","75","Paseo del fresno no. 75"
"I-76","I","76","Paseo del fresno no. 76"
"I-77","I","77","Paseo del fresno no. 77"
"I-78","I","78","Paseo del fresno no. 78"
"I-79","I","79","Paseo del fresno no. 79"
"I-8","I","8","Paseo del fresno no. 8"
"I-80","I","80","Paseo del fresno no. 80"
"I-81","I","81","Paseo del fresno no. 81"
"I-82","I","82","Paseo del fresno no. 82"
"I-9","I","9","Paseo del fresno no. 9"
"II-1","II","1","Paseo del Manantial no. 114"
"II-10","II","10","Paseo del Arrollo no. 10"
"II-11","II","11","Paseo del Arrollo no. 11"
"II-12","II","12","Paseo del Arrollo no. 12"
"II-13","II","13","Paseo del Arrollo no. 13"
"II-14","II","14","Paseo del Arrollo no. 14"
"II-15","II","15","Paseo del Arrollo no. 15"
"II-16","II","16","Paseo del Arrollo no. 16"
"II-17","II","17","Paseo del Arrollo no. 17"
"II-18","II","18","Paseo del Manantial no. 150"
"II-19","II","19","Paseo del Manantial no. 148"
"II-2","II","2","Paseo del Manantial no. 116"
"II-20","II","20","Paseo del Manantial no. 146"
"II-21","II","21","Paseo del Manantial no. 144"
"II-22","II","22","Paseo del Manantial no. 142"
"II-23","II","23","Paseo del Manantial no. 138"
"II-24","II","24","Paseo del Manantial no. 136"
"II-25","II","25","Paseo del Manantial no. 134"
"II-26","II","26","Paseo del Manantial no. 132"
"II-27","II","27","Paseo del Manantial no. 130"
"II-28","II","28","Paseo del Manantial no. 128"
"II-29","II","29","Paseo del Manantial no. 126"
"II-3","II","3","Paseo del Arrollo no. 3"
"II-30","II","30","Paseo del Manantial no. 124"
"II-31","II","31","Paseo del Manantial no. 122"
"II-32","II","32","Paseo del Manantial no. 120"
"II-33","II","33","Paseo del Arrollo no. 33"
"II-34","II","34","Paseo del Arrollo no. 34"
"II-35","II","35","Paseo del Arrollo no. 35"
"II-36","II","36","Paseo del Arrollo no. 36"
"II-37","II","37","Paseo del Arrollo no. 37"
"II-38","II","38","Paseo del Arrollo no. 38"
"II-39","II","39","Paseo del Arrollo no. 39"
"II-4","II","4","Paseo del Arrollo no. 4"
"II-40","II","40","Paseo del Arrollo no. 40"
"II-41","II","41","Paseo del Arrollo no. 41"
"II-5","II","5","Paseo del Arrollo no. 5"
"II-6","II","6","Paseo del Arrollo no. 6"
"II-7","II","7","Paseo del Arrollo no. 7"
"II-8","II","8","Paseo del Arrollo no. 8"
"II-9","II","9","Paseo del Arrollo no. 9"
"III-1","III","1","Paseo del Manantial no. 152"
"III-10","III","10","Paseo del Bosque no. 10"
"III-11","III","11","Paseo del Bosque no. 11"
"III-12","III","12","Paseo del Bosque no. 12"
"III-13","III","13","Paseo del Bosque no. 13"
"III-14","III","14","Paseo del Bosque no. 14"
"III-15","III","15","Paseo del Bosque no. 15"
"III-16","III","16","Paseo del Bosque no. 16"
"III-17","III","17","Paseo del Bosque no. 17"
"III-18","III","18","Paseo del Bosque no. 18"
"III-19","III","19","Paseo del Bosque no. 19"
"III-2","III","2","Paseo del Manantial no. 154"
"III-20","III","20","Paseo del Bosque no. 20"
"III-21","III","21","Paseo del Bosque no. 21"
"III-22","III","22","Paseo del Bosque no. 22"
"III-23","III","23","Paseo del Bosque no. 23"
"III-24","III","24","Paseo del Bosque no. 24"
"III-25","III","25","Paseo del Bosque no. 25"
